name,area_km2,poblacion,pobreza_pct,ingreso,escolaridad,nse_index,pm25_mean,no2_mean,n_grid,pm25_who_ratio,no2_who_ratio,green_km2,green_pct,n_green,health_n_total,health_n_hospital,health_n_pharmacy,health_density_per_km2,health_n_access_grid,mean_nearest_health_m,median_nearest_health_m,p90_nearest_health_m,mean_nearest_hospital_m,median_nearest_hospital_m,p90_nearest_hospital_m,tmean_annual_c,tmax_mean_annual_c,summer_tmax_mean_c,tmax_p95_c,tmax_abs_c,apparent_tmax_mean_c,hot_days_30c,hot_days_35c,apparent_hot_days_35c,tropical_nights_20c,precip_annual_mm,heat_exposure_index,urban_heat_anomaly_c,climate_n_area_grid_points,climate_nearest_point_m,climate_used_nearest_fallback,climate_n_days
Lo Espejo,8.19,102145,28.78,199778.0,10.42959944193576,-0.968,28.77,42.63,0,5.75,4.26,0.274,3.34,59,9,4,2,1.0983,8,596,463,1084,657,524,1084,16.11,23.23,31.09,33.72,37.8,22.25,91.0,8.0,8.0,2.0,721.8,1.04,1.07,0,0.0,True,366.0
Lo Prado,6.57,103390,19.32,203917.0,11.36936853014144,-0.297,15.9,17.46,0,3.18,1.75,0.198,3.02,83,25,7,11,3.8054,6,222,121,468,453,479,762,15.92,23.38,31.1,33.4,37.5,22.44,90.0,9.0,7.0,0.0,672.6,0.79,1.08,0,0.0,True,366.0
Macul,12.81,137336,13.45,400000.0,13.37165590700947,0.755,17.5,23.7,1,3.5,2.37,0.364,2.84,95,28,9,10,2.1852,13,370,301,561,496,536,577,15.62,22.2,29.73,32.0,36.0,21.23,53.0,2.0,1.0,3.0,513.7,-0.11,-0.3,1,0.0,False,366.0
Maipú,137.61,585951,14.84,248179.0,12.42664462961877,0.22,28.77,42.63,2,5.75,4.26,2.175,1.58,720,111,29,51,0.8066,138,2218,1528,5446,3390,2299,8175,14.26,21.23,28.43,30.94,35.7,20.07,35.5,2.0,2.0,0.0,625.9,-0.72,-1.59,2,0.0,False,366.0
María Pinto,394.62,15382,27.16,193917.0,9.46843776624592,-1.087,11.08,14.56,3,2.22,1.46,0.067,0.02,8,6,1,1,0.0152,388,4611,3962,8359,9864,9392,17159,15.01,22.04,28.83,31.16,36.9,21.58,42.0,4.0,3.67,1.0,515.73,-0.4,-1.19,3,0.0,False,366.0
Melipilla,1343.13,146241,22.81,203917.0,10.95887124414489,-0.554,13.02,17.4,14,2.6,1.74,0.515,0.04,70,37,10,13,0.0275,1346,6926,6679,12372,9434,9405,15271,14.58,21.56,27.71,30.99,37.44,20.86,31.91,4.82,2.64,0.36,570.14,-0.78,-2.31,14,0.0,False,366.0
Padre Hurtado,81.22,78847,19.55,300000.0,11.37208218071051,-0.132,28.77,42.63,0,5.75,4.26,0.527,0.65,176,7,3,2,0.0862,80,3494,3242,6519,3992,3564,7415,14.97,22.15,29.03,31.78,36.7,21.32,40.0,3.0,2.0,0.0,583.6,-0.48,-0.99,0,0.0,True,366.0
Paine,678.14,86258,20.95,193935.0,10.89190139297804,-0.492,16.9,22.15,5,3.38,2.21,0.251,0.04,86,18,7,3,0.0265,678,4741,3983,9137,8094,7527,14637,15.17,22.5,30.79,33.21,37.8,21.66,75.0,7.0,9.25,0.0,661.12,0.74,0.77,5,0.0,False,366.0
Pedro Aguirre Cerda,8.64,106065,20.17,243917.0,11.02831502937128,-0.334,28.77,42.63,0,5.75,4.26,0.429,4.97,84,21,9,9,2.4315,8,396,365,556,455,422,608,16.11,23.23,31.09,33.72,37.8,22.25,91.0,8.0,8.0,2.0,721.8,1.04,1.07,0,0.0,True,366.0
Peñaflor,69.32,104684,15.13,200000.0,11.96518097371539,0.026,28.77,42.63,1,5.75,4.26,0.631,0.91,65,15,5,3,0.2164,68,1866,1674,3637,2263,2217,3665,14.11,21.72,28.67,31.48,36.3,20.74,35.0,3.0,1.0,0.0,639.4,-0.68,-1.35,1,0.0,False,366.0
Peñalolén,53.62,271089,16.64,273917.0,12.40974773342048,0.173,17.5,23.7,0,3.5,2.37,1.806,3.37,208,55,12,26,1.0257,50,2010,1053,4946,2477,1764,5736,14.57,20.36,27.33,29.8,33.1,19.72,17.0,0.0,0.0,3.0,546.3,-1.13,-2.7,0,0.0,True,366.0
Pirque,444.7,32041,19.42,211671.0,11.90746093749988,-0.181,17.5,23.7,3,3.5,2.37,0.338,0.08,36,15,3,5,0.0337,444,6322,5342,13423,8634,7566,16485,15.16,21.39,29.11,31.68,36.2,20.79,40.0,1.0,2.0,1.0,761.0,-0.42,-0.91,3,0.0,False,366.0
Providencia,14.43,162013,4.32,1000000.0,16.25641007499625,2.887,7.8,2.96,0,1.56,0.3,2.243,15.54,120,195,56,100,13.5107,12,296,247,592,375,337,620,16.17,22.75,30.4,32.68,36.7,21.72,68.0,3.0,1.0,3.0,446.1,0.2,0.37,0,0.0,True,366.0
Pudahuel,197.45,259195,16.88,236000.0,11.84711282590672,-0.02,15.9,17.46,2,3.18,1.75,0.81,0.41,197,63,14,26,0.3191,193,3383,2754,7392,4345,3942,8214,15.22,22.5,29.94,32.24,36.3,21.5,59.0,4.5,2.5,0.0,650.8,-0.1,-0.09,2,0.0,False,366.0
Puente Alto,88.13,661900,18.92,200000.0,12.03118632822764,-0.153,17.5,23.7,2,3.5,2.37,2.418,2.74,665,124,31,56,1.407,88,1173,775,2953,1721,1153,4005,14.85,21.42,28.71,31.05,34.75,20.89,31.5,0.5,0.0,0.0,640.2,-0.83,-1.32,2,0.0,False,366.0
Quilicura,56.99,268706,17.05,208785.0,12.19940354897908,-0.009,15.9,17.46,0,3.18,1.75,0.732,1.28,388,100,17,50,1.7546,56,1010,864,2079,1403,1176,2752,15.49,22.96,30.62,32.9,36.7,21.95,77.0,6.0,4.0,0.0,602.8,0.34,0.6,0,0.0,True,366.0
Quinta Normal,11.83,140381,19.68,400000.0,12.81401894451962,0.33,15.9,17.46,0,3.18,1.75,0.427,3.61,25,27,4,12,2.2819,9,364,320,587,614,689,795,16.48,23.08,30.72,32.98,37.0,22.11,83.0,4.0,4.0,3.0,446.1,0.62,0.7,0,0.0,True,366.0
Recoleta,15.85,195514,21.16,260879.0,11.47486351650759,-0.264,7.8,2.96,0,1.56,0.3,2.72,17.16,57,51,9,26,3.2175,15,426,431,713,636,590,939,16.17,22.75,30.4,32.68,36.7,21.72,68.0,3.0,1.0,3.0,446.1,0.2,0.37,0,0.0,True,366.0
Renca,23.75,162638,19.5,193000.0,10.87586764441678,-0.423,15.9,17.46,1,3.18,1.75,0.47,1.98,68,24,4,12,1.0107,22,632,566,1032,1029,962,1466,16.06,22.69,30.43,32.68,36.2,21.48,71.0,4.0,1.0,0.0,434.7,0.03,0.4,1,0.0,False,366.0
San Bernardo,153.14,343570,18.71,199917.0,11.61984892425988,-0.224,28.77,42.63,1,5.75,4.26,1.688,1.1,293,76,19,35,0.4963,153,1796,1825,3018,2534,2457,4679,15.14,22.38,30.29,32.78,36.8,21.46,71.0,5.0,5.0,0.0,708.2,0.29,0.26,1,0.0,False,366.0
San Joaquín,9.94,103586,19.61,270000.0,11.79086965796784,-0.107,17.5,23.7,0,3.5,2.37,0.371,3.73,75,18,3,7,1.8112,8,370,329,594,796,735,1150,16.33,22.93,30.46,32.7,36.8,22.12,74.0,4.0,5.0,6.0,513.7,0.73,0.43,0,0.0,True,366.0
San José de Maipo,4984.91,19211,24.4,244051.0,11.44726827065726,-0.465,7.46,5.2,50,1.49,0.52,0.115,0.0,16,8,1,1,0.0016,4982,26716,25556,47689,37496,37393,61650,13.69,19.93,26.64,29.1,32.0,19.47,10.0,0.0,0.0,1.0,627.1,-1.51,-3.38,50,0.0,False,366.0
San Miguel,9.63,140870,12.92,421694.0,14.09351796981149,0.964,28.77,42.63,0,5.75,4.26,0.195,2.03,33,49,12,24,5.0891,8,258,289,416,492,389,887,16.38,22.97,30.5,32.78,36.8,22.18,76.0,4.0,5.0,7.0,513.7,0.83,0.47,0,0.0,True,366.0
San Pedro,794.84,12336,31.93,198310.0,8.73944767710354,-1.464,7.19,5.7,9,1.44,0.57,0.025,0.0,5,7,1,1,0.0088,796,7475,7147,13256,11848,11988,18233,14.12,20.92,27.36,31.16,36.53,19.77,33.14,4.29,3.0,0.14,567.59,-0.78,-2.67,9,0.0,False,366.0
San Ramón,6.31,84926,19.17,223917.0,10.75368796878047,-0.374,17.5,23.7,0,3.5,2.37,0.262,4.15,73,21,5,10,3.3292,5,261,238,357,364,423,461,15.62,22.2,29.73,32.0,36.0,21.23,53.0,2.0,1.0,3.0,513.7,-0.11,-0.3,0,0.0,True,366.0
Santiago,23.28,530538,16.47,489000.0,14.16776451905146,0.923,28.77,42.63,0,5.75,4.26,2.055,8.83,261,262,39,186,11.2561,21,243,206,448,409,403,684,16.17,22.75,30.4,32.68,36.7,21.72,68.0,3.0,1.0,3.0,446.1,0.2,0.37,0,0.0,True,366.0
Talagante,128.01,84153,16.99,200000.0,11.51954302232605,-0.156,28.77,42.63,2,5.75,4.26,0.376,0.29,94,40,9,14,0.3125,129,2451,2450,4232,3331,3440,5117,14.29,21.88,29.09,31.81,36.9,20.92,43.5,3.5,3.5,0.0,612.6,-0.34,-0.94,2,0.0,False,366.0
Tiltil,654.87,22110,28.91,193917.0,9.55063222738564,-1.159,14.13,14.52,6,2.83,1.45,0.109,0.02,18,8,3,1,0.0122,656,4903,4636,8105,8862,7794,16556,16.22,22.93,30.28,32.89,37.27,21.97,77.0,9.67,6.33,0.67,568.37,0.49,0.25,6,0.0,False,366.0
Vitacura,28.29,97546,2.44,950000.0,16.23183513296114,2.885,7.8,2.96,1,1.56,0.3,1.549,5.48,113,59,14,37,2.0853,29,756,446,1661,1120,1032,2035,16.17,22.75,30.4,32.68,36.7,21.72,68.0,3.0,1.0,3.0,446.1,0.2,0.37,1,0.0,False,366.0
Ñuñoa,16.91,261138,5.17,693470.0,15.60763637508195,2.154,17.5,23.7,0,3.5,2.37,1.107,6.55,117,116,13,82,6.859,16,232,214,415,484,498,773,15.62,22.2,29.73,32.0,36.0,21.23,53.0,2.0,1.0,3.0,513.7,-0.11,-0.3,0,0.0,True,366.0
